Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Jeison Guzman","SS","KCR",,9,"22.6583333","45 / 50",35,50,"30 / 35","45 / 45","55 / 55","55 / 60",86,,104,"45","sa914314"
"Austin Wells","RF","NYY",,12,"21.8972222","35 / 55",55,55,"35 / 55","55 / 55","45 / 45","30 / 40",,,,"45","sa3014440"
"Anthony Volpe","SS","NYY",,14,"20.1027777","25 / 55",50,55,"20 / 35","40 / 45","50 / 50","50 / 55",86,0.3,102,"45","sa3010868"
"Masyn Winn","SIRP/SS","STL",,7,"19.2055555","20 / 40",40,45,"20 / 50","45 / 60","60 / 60","40 / 50",,,,"45","sa3014506"
"Alexander Ramirez","RF","LAA",,7,"18.7666666","20 / 40",45,40,"25 / 60","55 / 70","55 / 50","40 / 45",95,,111,"40+","sa3008757"
"David Calabrese","CF","LAA",,10,"18.6916666","25 / 60",60,,"20 / 40","40 / 45","60 / 60","45 / 55",,,,"40+","sa3014507"
"D'Shawn Knowles","CF","LAA",,11,"20.3861111","30 / 40",60,40,"30 / 40","45 / 50","70 / 70","45 / 55",85,,103,"40+","sa3006889"
"Jeremiah Jackson","3B","LAA",,12,"21.1916666","30 / 35",45,40,"35 / 55","55 / 60","55 / 55","40 / 50",92,,106,"40+","sa3007740"
"Benyamin Bailey","RF","CHW",,7,"19.7138888","25 / 50",55,50,"20 / 55","50 / 60","45 / 30","30 / 45",87,0.33,101,"40+","sa3009343"
"Jose Rodriguez","SS","CHW",,8,"20.0611111","25 / 60",30,60,"20 / 40","45 / 45","55 / 55","40 / 50",88,0.33,106,"40+","sa3005788"
"Kevin Padlo","3B","TBR",,24,"24.8888888","35 / 40",60,40,"45 / 55","60 / 60","40 / 40","45 / 45",92,0.49,109,"40+","16593"
"Micker Adolfo","DH","CHW",,9,"24.7333333","30 / 35",45,40,"50 / 60","70 / 70","40 / 40","40 / 40",95,0.66,114,"40+","sa830303"
"Osleivis Basabe","SS","TBR",,26,"20.7277777","35 / 55",30,60,"30 / 40","45 / 50","60 / 60","30 / 45",90,0.42,,"40+","sa3006594"
"Ivan Johnson","2B","CIN",,13,"22.65","30 / 45",50,45,"30 / 45","50 / 55","60 / 60","35 / 40",87,0.33,105,"40+","sa1169627"
"Casey Martin","SS","PHI",,11,"22.1611111","30 / 40",20,50,"35 / 50","55 / 60","80 / 80","35 / 45",,,,"40+","sa3014524"
"Jesus Galiz","C","LAD",,18,"17.4888888","20 / 45",,50,"20 / 45","45 / 50","30 / 20","40 / 60",,,,"40+",
"Luis Rodriguez","CF","LAD",,19,"18.7194444","25 / 55",,,"20 / 45","35 / 45","55 / 55","45 / 55",,,,"40+","sa3014689"
