Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Josh Wolf","SIRP","CLE",,25,"20.7611111",,"Tail","50 / 60","35 / 55","50 / 60","40 / 45","30 / 45",2300,2350,"92-95","97","40+","sa3011638"
"Cody Morris","MIRP","CLE",,26,"24.5861111","6/2/15","Tail","55 / 55","","50 / 55","50 / 50","40 / 45",2400,2400,"92-95","98","40+","sa3008653"
"Carmen Mlodzinski","SP","PIT",,14,"22.2944444",,"Sink","55 / 60","50 / 50","","40 / 45","35 / 50",,,"93-97","98","40+","sa3014505"
"Roansy Contreras","SP","PIT",,15,"21.5777777",,"Rise","50 / 55","50 / 55","","50 / 55","45 / 50",2400,2500,"92-95","96","40+","sa3003020"
"Jared Jones","SIRP","PIT",,17,"19.8305555",,"Rise","60 / 60","50 / 60","55 / 55","40 / 50","20 / 35",,,"93-97","99","40+","sa3014459"
"Jose Soriano","SIRP","PIT",,22,"22.625","2/6/20","Rise","55 / 60","","50 / 55","30 / 40","30 / 40",2250,2300,"93-97","99","40+","sa916702"
"Dax Fulton","SP","MIA",,17,"19.6361111",,,"50 / 60","","55 / 60","40 / 50","20 / 50",,,"91-95","96","40+","sa3014535"
"Luis Oviedo","MIRP","PIT",,23,"22.0555555",,"Tail","55 / 60","","55 / 55","45 / 55","30 / 40",2250,2350,"94-96","98","40+","21728"
"Eddy Yean","SP","PIT",,25,"19.9444444",,"Tail","50 / 60","50 / 55","","45 / 55","25 / 50",2300,2350,"91-94","96","40+","sa3006543"
"Kyle Nicolas","SIRP","MIA",,20,"22.2861111",,,"55 / 60","55 / 60","45 / 45","30 / 30","30 / 40",,,"92-94","97","40+","sa3014523"
